epoch,train_loss_total,train_loss_data,train_loss_physics,val_loss_total,val_rmse,val_r2,physics_balance
1,1011.3800833565848,138.78029959430373,8.725997820574024e-06,138.78029959430373,0.12768982101493162,-103.6438217163086,733.8194824630987
2,593.6887577601841,105.86840800235146,4.8782034991061775e-06,105.86840800235146,0.10377962707713967,-68.12342071533203,381.95194190826635
3,415.6754259381975,74.22202160483913,3.414534058152585e-06,74.22202160483913,0.08992849893143239,-50.90338897705078,267.2313842104194
4,316.04464033313263,56.52677021170021,2.5951787018444396e-06,56.52677021170021,0.07914563705412132,-39.20267868041992,202.99109997274374
5,252.6476999727407,45.23599766609364,2.0741170205701223e-06,45.23599766609364,0.07445889133907546,-34.582313537597656,162.1757043909186
6,208.77544775941317,37.35964145516991,1.7141580563071686e-06,37.35964145516991,0.06525884928702314,-26.332529067993164,134.05616417554694
7,176.58851916090887,31.623898276709077,1.4496462105504672e-06,31.623898276709077,0.06125133567991002,-23.078649520874023,113.34072277833766
8,151.92294414778402,27.179260081814643,1.2474368418224913e-06,27.179260081814643,0.056333461242845405,-19.367319107055664,97.56442410043448
9,132.39988218035018,23.676509742449998,1.0872337236292891e-06,23.676509742449998,0.05255103914252452,-16.724077224731445,85.04686262047892
10,116.51610436116843,20.863349197502423,9.565275491640796e-07,20.863349197502423,0.0498655102093769,-14.95884895324707,74.78940571890553
11,103.32747311699659,18.498834538280516,8.48286385549604e-07,18.498834538280516,0.04730418047487557,-13.3615083694458,66.32980401667989
12,92.17823765690166,16.508102893829346,7.567013510293021e-07,16.508102893829346,0.045204231487495306,-12.114725112915039,59.16203220910086
13,82.61820490557449,14.804295912721104,6.781390884224718e-07,14.804295912721104,0.042897430750257246,-10.810372352600098,53.009612929526085
14,74.3240377669944,13.340483894921784,6.098355416106232e-07,13.340483894921784,0.040077439675504194,-9.308629989624023,47.64307026614054
15,67.05384841001123,12.051003456115723,5.500284485715656e-07,12.051003456115723,0.037404465054945685,-7.979412078857422,42.951841401040845
16,60.62042051329649,10.868446360853381,4.97519742256222e-07,10.868446360853381,0.03550666444745895,-7.09134578704834,38.883527864768816
