epoch,train_loss_total,train_loss_data,train_loss_physics,val_loss_total,val_rmse,val_r2,physics_balance
1,359089.20582706766,622.9119023670603,0.003584662935507477,622.9119023670603,0.4534074955062802,-1318.4058837890625,357843.3816483806
2,233511.86319313908,3454.9506858883046,0.0023005691258923,3454.9506858883046,0.8407844066152989,-4536.01611328125,226601.96190334173
3,171274.9873707707,8654.539659084234,0.0016262044826403429,8654.539659084234,1.2258871855707283,-9643.99609375,153965.90860495006
4,136431.8827831297,16214.233438821664,0.0012021764970202476,16214.233438821664,1.6101593032356347,-16638.44140625,104003.4162632031
5,116222.86407424812,20621.870058446897,0.0009560099390643488,20621.870058446897,1.5520468671299665,-15459.04296875,74979.123847988
6,102057.17845394737,18164.478207236843,0.0008389270003128768,18164.478207236843,1.4592375631372625,-13665.365234375,65728.22182405084
7,90930.5347156955,16181.682587817199,0.0007474885227620826,16181.682587817199,1.3826068789952886,-12267.697265625,58567.16968839106
8,81939.22744360902,14581.19435062265,0.0006735803287203206,14581.19435062265,1.3157674445014775,-11110.1572265625,52776.838521409416
9,74497.57545230263,13256.225923695958,0.0006124134953623932,13256.225923695958,1.2573187670543216,-10144.9296875,47985.12361254336
10,68213.7601180686,12138.231650904605,0.0005607552858353138,12138.231650904605,1.203241367409779,-9290.9423828125,43937.29693262677
11,62816.22807507049,11177.40101841518,0.0005163882696682489,11177.40101841518,1.157544159263147,-8598.55859375,40461.42594840971
12,58111.482142857145,10340.997672403666,0.00047770484372066627,10340.997672403666,1.113378366617929,-7954.85009765625,37429.48669966296
13,53958.52421581297,9602.712710731908,0.00044355811433047335,9602.712710731908,1.0728755807262789,-7386.53857421875,34753.09872231542
14,50252.116130169175,8942.84167572251,0.00041309274519492583,8942.84167572251,1.0379223986303665,-6913.0224609375,32366.43284377007
15,46912.43519443139,8346.511687544056,0.0003856592357580557,8346.511687544056,1.0036237148400688,-6463.61767578125,30219.411888261515
16,43877.980277843046,7807.754695576833,0.00036070225604974376,7807.754695576833,0.9683696246172154,-6017.431640625,28262.47090939754
