epoch,train_loss_total,train_loss_data,train_loss_physics,val_loss_total,val_rmse,val_r2,physics_balance
1,362844.44337406015,643.9847949361218,0.003622004577602939,643.9847949361218,0.4592240052962486,-1352.474853515625,361556.47296535777
2,241524.22926456766,3520.0949651961937,0.0023800413469132736,3520.0949651961937,0.8472892564473992,-4606.490234375,234484.03972613116
3,182044.242481203,8766.317562705592,0.0017327792444476451,8766.317562705592,1.2327540897509648,-9752.3525390625,164511.6068820589
4,148745.99853148498,12859.890863633693,0.0013588610752065548,12859.890863633693,1.2223945313186548,-9589.115234375,123026.21665702178
5,126888.5978618421,11138.876956796288,0.0011574972059430653,11138.876956796288,1.1364827648488929,-8288.4697265625,104610.84363751025
6,110779.23939732143,9724.31132518797,0.001010549281849841,9724.31132518797,1.067618606642926,-7314.3193359375,91330.61685979612
7,98362.39881931391,8633.023971672344,0.0008972937504225236,8633.023971672344,1.0083910442157369,-6525.1787109375,81096.35107058001
8,88450.84789121241,7763.891550164473,0.0008068695665281126,7763.891550164473,0.9591546305694745,-5903.43408203125,72923.0651026468
9,80316.64085996241,7049.911208073896,0.0007326672975362552,7049.911208073896,0.916341207265993,-5388.08984375,66216.81854555162
10,73487.29540648496,6450.474708499765,0.0006703682065699809,6450.474708499765,0.8778319171782799,-4944.654296875,60586.34594849833
11,67643.72591635339,5936.727091165413,0.0006170699876624587,5936.727091165413,0.8425584432666833,-4555.1826171875,55770.271675080454
12,62563.84087171053,5491.184063674812,0.0005707265680071135,5491.184063674812,0.8112150448643579,-4222.5048828125,51581.472737036536
13,58087.397850093985,5098.097300135103,0.0005298930050059452,5098.097300135103,0.7833559643404959,-3937.395263671875,47891.20320045942
14,54096.57850681391,4747.5441986313435,0.0004934903424184181,4747.5441986313435,0.7565301486586425,-3672.275634765625,44601.49004321047
15,50502.77774024906,4432.3385771557805,0.0004607043915062344,4432.3385771557805,0.7313368020339095,-3431.7001953125,41638.100573467666
16,47238.37069725094,4144.459033937383,0.0004309391162158655,4144.459033937383,0.7058248818629786,-3196.385009765625,38949.45258764917
