epoch,train_loss_total,train_loss_data,train_loss_physics,val_loss_total,val_rmse,val_r2,physics_balance
1,12218485051.669172,630.5454746360393,122.18484499938506,630.5454746360393,0.4550237500364029,-1327.8292236328125,12218483869.393032
2,8882846227.24812,3470.4074821758986,88.8284274509975,3470.4074821758986,0.8421876358853091,-4551.1728515625,8882839274.692266
3,7053605277.834586,8677.244124104205,70.53596604139285,8677.244124104205,1.2272137899086564,-9664.8818359375,7053587926.895161
4,5883889675.548872,16244.011854587641,58.83873428975729,16244.011854587641,1.6114514482873439,-16665.15625,5883857184.963875
5,5062395461.293233,26168.02615425282,50.62369302161654,26168.02615425282,1.995292487824528,-25550.3671875,5062343134.135499
6,4447752642.406015,38447.372187793706,44.4771421045289,38447.372187793706,2.378902541785646,-36319.7109375,4447675763.080703
7,3966427882.827068,53081.83542351974,39.66374798824913,53081.83542351974,2.7623651980828576,-48972.73046875,3966321716.989489
8,3576264632.781955,70070.6215343045,35.76194553805473,70070.6215343045,3.1457298884952074,-63509.2578125,3576124483.183939
9,3251570790.0150375,89413.39611724624,32.514813659782696,89413.39611724624,3.5290269183729084,-79929.2109375,3251391952.5821524
10,2975561682.766917,111110.85746593046,29.75450575262084,111110.85746593046,3.912274772815715,-98232.5234375,2975339464.4046183
11,2736868648.4210525,135162.3008106203,27.367334882119543,135162.3008106203,4.2954880574117755,-118419.265625,2736598325.9111433
12,2527517775.879699,161567.81490836467,25.273562065640785,161567.81490836467,4.678671495704917,-140489.234375,2527194638.74917
13,2341749547.3082705,190327.4920700188,23.415592272478836,190327.4920700188,5.061836670168632,-164442.71875,2341368899.7558136
14,2175317058.406015,221441.554981203,21.75095602623502,221441.554981203,5.444985159581385,-190279.5625,2174874161.0685205
15,2024991964.3909774,254909.9610549812,20.24737060518193,254909.9610549812,5.828119436471037,-217999.71875,2024482150.5571382
16,1888282769.8045113,290730.21311090223,18.879920371493004,290730.21311090223,6.211209580321984,-247600.578125,1887701306.9361894
