epoch,train_loss_total,train_loss_data,train_loss_physics,val_loss_total,val_rmse,val_r2,physics_balance
1,12217750143.037594,630.4730632213274,122.17749576998833,630.4730632213274,0.45505910023227575,-1328.03564453125,12217748946.52577
2,8881234782.31579,3470.736781070107,88.81231293642432,3470.736781070107,0.8422297097352502,-4551.62744140625,8881227822.905651
3,7051341292.75188,8677.757929981202,70.51332608559974,8677.757929981202,1.227244582319084,-9665.3662109375,7051323930.802045
4,5881083984.842105,16244.459707618656,58.81067733477829,16244.459707618656,1.6114694244391048,-16665.529296875,5881051489.018122
5,5059113177.503759,26168.38436912594,50.59087011867896,26168.38436912594,1.9952991792836114,-25550.5390625,5059060843.483527
6,4444042333.353383,38447.71719337406,44.44003873839414,38447.71719337406,2.3788995351211164,-36319.6171875,4443965426.122221
7,3962327395.1278195,53081.6973243656,39.6227431189745,53081.6973243656,2.7623550998435804,-48972.375,3962221230.2001257
8,3571786441.142857,70069.8187118186,35.71716370259909,70069.8187118186,3.145712759641973,-63508.5703125,3571646300.441197
9,3246748211.007519,89412.39990601504,32.46658791276745,89412.39990601504,3.52900205646389,-79928.0859375,3246569378.876839
10,2970436903.458647,111109.22509398496,29.70325791925416,111109.22509398496,3.9122460084804973,-98231.078125,2970214682.700322
11,2731446025.62406,135160.2423930921,27.313108580453054,135160.2423930921,4.295455642707394,-118417.484375,2731175697.802912
12,2521822461.112782,161565.7933505639,25.21660890794338,161565.7933505639,4.678643774140923,-140487.5625,2521499325.0009875
13,2335821147.428571,190325.2375469925,23.35630823436536,190325.2375469925,5.0618102934281595,-164441.0,2335440498.1989894
14,2169169733.293233,221439.27402490602,21.68948293270025,221439.27402490602,5.444956435352421,-190277.5625,2168726853.9960003
15,2018643984.8421052,254906.9174107143,20.183890765770933,254906.9174107143,5.828089982405692,-217997.5,2018134169.6596828
16,1881751618.406015,290727.39320958644,18.814608953949204,290727.39320958644,6.211177029579292,-247597.96875,1881170168.0017107
