group,depth_h,best_val_rmse,best_val_r2,final_physics_balance,init_c_prime,init_phi,init_n,init_sigma_n,init_eta,final_c_prime,final_phi,final_n,final_sigma_n,final_eta,final_tau,final_h
A,15.0,0.002846852495851916,0.9437059760093689,0.017903667882824967,1.0,34.0,1.8,120.0,5000000.0,3.962758779525757,37.284332275390625,1.2315160036087036,123.00458526611328,5000000.0,100.0,15.0
B,15.0,0.0029210524347343487,0.9407332539558411,0.018609288342870997,8.0,34.0,1.8,120.0,5000000.0,9.75941276550293,35.892459869384766,1.3639402389526367,121.73406219482422,5000000.0,100.0,15.0
C,15.0,0.0029664824110093354,0.9388754367828369,0.01875399917654604,0.5,33.0,1.5,100.0,50000.0,8.088326454162598,40.53064727783203,1.0576993227005005,107.54432678222656,50000.0,100.0,15.0
D,15.0,0.0029535559941569734,0.9394069314002991,0.006928533368478384,0.0,35.0,1.3,80.0,2000.0,6.158390998840332,45.561790466308594,1.0116604566574097,90.49681091308594,2008.1195068359375,100.0,15.0
E,15.0,0.0048614189748006995,0.8358433246612549,5306.641676752776,0.0,37.0,1.2,60.0,10.0,6.956549644470215,48.46297073364258,1.0043436288833618,71.31197357177734,18.794004440307617,100.0,15.0
