group,depth_h,best_val_rmse,best_val_r2,final_physics_balance,init_c_prime,init_phi,init_n,init_sigma_n,init_eta,final_c_prime,final_phi,final_n,final_sigma_n,final_eta,final_tau,final_h
A,30.0,0.003604326633218264,0.9166224002838135,0.0030456676995103127,2.0,34.0,1.8,120.0,5000000.0,5.350462436676025,37.427520751953125,1.2693257331848145,123.43949127197266,5000000.0,100.0,30.0
B,30.0,0.003439256355029546,0.9240845441818237,0.001908216130314267,1.0,36.0,1.6,150.0,500000.0,0.9987477660179138,35.992156982421875,1.597062110900879,149.99734497070312,500000.0,100.0,30.0
C,30.0,0.0035294438964752887,0.9200509190559387,0.0036500376889085293,0.5,33.0,1.5,100.0,50000.0,8.756509780883789,41.23748779296875,1.058542013168335,108.2483139038086,50000.0,100.0,30.0
D,30.0,0.4592240052962486,-1352.474853515625,38949.45258764917,0.0,35.0,1.3,80.0,2000.0,0.0006238716887310147,37.753116607666016,1.0618348121643066,82.75139617919922,2002.723388671875,100.0,30.0
E,30.0,0.4550237500364029,-1327.8292236328125,1887701306.9361894,0.0,37.0,1.2,60.0,10.0,0.0007834209827706218,39.95477294921875,1.036742925643921,62.93833541870117,12.704083442687988,100.0,30.0
