group,best_val_rmse,final_physics_balance,init_c_prime,init_phi,init_n,init_sigma_n,init_eta,final_c_prime,final_phi,final_n,final_sigma_n,final_eta,final_tau,final_h
A,0.004137887687427956,0.022123397466283726,2.0,34.0,1.8,120.0,5000000.0,6.99335241317749,39.09926223754883,1.1552634239196777,125.11767578125,5000000.0,110.0,15.0
B,0.00419363964437179,0.020734035806190713,1.0,36.0,1.6,150.0,500000.0,1.2555255889892578,36.377689361572266,1.7994985580444336,150.37722778320312,500000.0,110.0,15.0
C,0.004376798688688819,0.01156497615246542,0.5,33.0,1.5,100.0,50000.0,9.832926750183105,42.30717849731445,1.03644859790802,109.31281280517578,50000.0,110.0,15.0
D,0.07213643485887351,142.8388935630345,0.0,35.0,1.3,80.0,2000.0,7.785755634307861,47.119163513183594,1.0073823928833008,92.034912109375,2009.603759765625,110.0,15.0
E,0.807712018904314,929842135.2414644,0.0,37.0,1.2,60.0,10.0,1.8504505157470703,43.5612907409668,1.0114099979400635,66.49874877929688,15.62215805053711,110.0,15.0
