group,depth_h,best_val_rmse,best_val_r2,final_physics_balance,init_c_prime,init_phi,init_n,init_sigma_n,init_eta,final_c_prime,final_phi,final_n,final_sigma_n,final_eta,final_tau,final_h
A,20.0,0.0038189865078480413,0.9063953757286072,0.007404654617102477,2.0,34.0,1.8,120.0,5000000.0,5.32610559463501,37.406978607177734,1.2600243091583252,123.4176025390625,5000000.0,100.0,20.0
B,20.0,0.0037110272686070337,0.9116128087043762,0.013706593363989515,1.0,36.0,1.6,150.0,500000.0,1.000363826751709,36.00299072265625,1.6010067462921143,150.00022888183594,500000.0,100.0,20.0
C,20.0,0.0038403065089716343,0.9053473472595215,0.004455381967214712,0.5,33.0,1.5,100.0,50000.0,8.64487361907959,41.104244232177734,1.0586926937103271,108.1148452758789,50000.0,100.0,20.0
D,20.0,0.4534074955062802,-1318.4058837890625,28262.47090939754,0.0,35.0,1.3,80.0,2000.0,0.0005646349745802581,37.67837142944336,1.0641570091247559,82.67617797851562,2002.71728515625,100.0,20.0
E,20.0,0.45505910023227575,-1328.03564453125,1881170168.0017107,0.0,37.0,1.2,60.0,10.0,0.000782438728492707,39.95376205444336,1.03676176071167,62.93735122680664,12.7031831741333,100.0,20.0
