group,best_val_rmse,best_val_r2,final_physics_balance,init_c_prime,init_phi,init_n,init_sigma_n,init_eta,final_c_prime,final_phi,final_n,final_sigma_n,final_eta,final_tau,final_h
A,0.0042456762266541975,0.8843103051185608,0.012888605337561407,2.0,34.0,1.8,120.0,5000000.0,7.11115837097168,39.21342086791992,1.1429510116577148,125.23054504394531,5000000.0,110.0,15.0
B,0.004280770047251933,0.8823898434638977,0.011253259942213885,1.0,36.0,1.6,150.0,500000.0,1.286581039428711,36.420204162597656,1.8254283666610718,150.42111206054688,500000.0,110.0,15.0
C,0.004315512744579503,0.8804730772972107,0.008455744089631491,0.5,33.0,1.5,100.0,50000.0,10.49916934967041,43.02263259887695,1.036820650100708,110.02033233642578,50000.0,110.0,15.0
D,0.4478527363538435,-1286.2755126953125,30084.562409324048,0.0,35.0,1.3,80.0,2000.0,0.00046636356273666024,37.534812927246094,1.0674968957901,82.532958984375,2002.5069580078125,110.0,15.0
E,0.44740379897795324,-1283.696044921875,2802258036.0519633,0.0,37.0,1.2,60.0,10.0,0.0007636332884430885,39.9316520690918,1.0367790460586548,62.915401458740234,12.699422836303711,110.0,15.0
