group,best_val_rmse,best_val_r2,final_physics_balance,init_c_prime,init_phi,init_n,init_sigma_n,init_eta,final_c_prime,final_phi,final_n,final_sigma_n,final_eta,final_tau,final_h
A,0.004201905921074417,0.8866833448410034,0.009282185562987218,2.0,34.0,1.8,120.0,5000000.0,5.300086498260498,37.384037017822266,1.2481330633163452,123.39349365234375,5000000.0,100.0,15.0
B,0.004263452416108086,0.8833394646644592,0.009634496719265556,1.0,36.0,1.6,150.0,500000.0,0.9993948936462402,35.99518966674805,1.5983216762542725,150.00039672851562,500000.0,100.0,15.0
C,0.004108005668348664,0.8916913866996765,0.010261838615504414,0.5,33.0,1.5,100.0,50000.0,8.776327133178711,41.22762680053711,1.0593596696853638,108.23957824707031,50000.0,100.0,15.0
D,0.45513602940292286,-1328.485107421875,17806.97329352561,0.0,35.0,1.3,80.0,2000.0,0.0004946514964103699,37.58195114135742,1.0671639442443848,82.58009338378906,2002.52783203125,100.0,15.0
E,0.45174002276339764,-1308.7191162109375,1874692924.1132905,0.0,37.0,1.2,60.0,10.0,0.0007814316195435822,39.95275115966797,1.036780595779419,62.93635177612305,12.70219612121582,100.0,15.0
