group,best_val_rmse,final_physics_balance,init_c_prime,init_phi,init_n,init_sigma_n,init_eta,final_c_prime,final_phi,final_n,final_sigma_n,final_eta,final_tau,final_h
A,0.0038931533238557637,0.0077332477509316835,18.0,24.0,2.0,140.0,5000000.0,24.144203186035156,30.326860427856445,1.1456656455993652,146.47698974609375,5000000.0,110.0,15.0
B,0.0038312653520610257,0.008295069441515833,25.0,22.0,2.2,180.0,500000.0,27.702550888061523,24.75344467163086,1.6415431499481201,182.8253173828125,500000.0,110.0,15.0
C,0.0039446185527521665,0.01970188754430085,15.0,27.0,1.9,160.0,50000.0,18.130807876586914,30.21947479248047,1.419583797454834,163.2815704345703,50000.0,110.0,15.0
D,0.8117997012558618,23216.837253364785,10.0,25.0,1.7,120.0,2000.0,13.2258882522583,28.316282272338867,1.1326448917388916,123.38189697265625,2003.34521484375,110.0,15.0
E,0.8154488749730756,2922507365.792237,8.0,20.0,1.5,90.0,10.0,11.98210620880127,24.0976619720459,1.06618332862854,94.21786499023438,13.82831859588623,110.0,15.0
