group,best_val_rmse,best_val_r2,final_physics_balance,init_c_prime,init_phi,init_n,init_sigma_n,init_eta,final_c_prime,final_phi,final_n,final_sigma_n,final_eta,final_tau,final_h
A,0.0042157917180101175,0.8859331607818604,0.010056338439663935,18.0,24.0,2.0,140.0,5000000.0,23.664812088012695,29.82685661315918,1.1411877870559692,145.96072387695312,5000000.0,110.0,15.0
B,0.004188304601070699,0.8874157667160034,0.010809796073222307,25.0,22.0,2.2,180.0,500000.0,27.619020462036133,24.669845581054688,1.618127703666687,182.74131774902344,500000.0,110.0,15.0
C,0.00422731499842041,0.8853087425231934,0.00946007148933508,15.0,27.0,1.9,160.0,50000.0,18.12789535522461,30.217191696166992,1.418050765991211,163.27786254882812,50000.0,110.0,15.0
D,0.4514833506347949,-1307.231201171875,88332.53110789997,10.0,25.0,1.7,120.0,2000.0,11.46059513092041,26.479856491088867,1.2724816799163818,121.49500274658203,2001.4754638671875,110.0,15.0
E,0.4594461107034821,-1353.784423828125,11106771494.491108,8.0,20.0,1.5,90.0,10.0,9.779189109802246,21.805797576904297,1.1571143865585327,91.8360366821289,11.799759864807129,110.0,15.0
