group,depth_h,best_val_rmse,best_val_r2,final_physics_balance,init_c_prime,init_phi,init_n,init_sigma_n,init_eta,final_c_prime,final_phi,final_n,final_sigma_n,final_eta,final_tau,final_h
A,10.0,0.00513169624125319,0.8309859037399292,0.012630221450210075,2.0,34.0,1.8,120.0,5000000.0,5.199990749359131,37.289329528808594,1.2180728912353516,123.29705810546875,5000000.0,100.0,10.0
B,10.0,0.0052463398494092825,0.8233498930931091,0.017257001985620142,1.0,36.0,1.6,150.0,500000.0,1.0001463890075684,36.00125503540039,1.600430965423584,150.0001678466797,500000.0,100.0,10.0
C,10.0,0.0052018287758907105,0.8263346552848816,0.012892797850233187,0.5,33.0,1.5,100.0,50000.0,8.787541389465332,41.191951751708984,1.0605823993682861,108.20286560058594,50000.0,100.0,10.0
D,10.0,0.44964691986366057,-1296.6102294921875,2346.953974550661,0.0,35.0,1.3,80.0,2000.0,0.0003508692025206983,37.35845947265625,1.074553370475769,82.35694885253906,2002.350830078125,100.0,10.0
E,10.0,0.4459798730983115,-1275.531494140625,1861887538.6982367,0.0,37.0,1.2,60.0,10.0,0.0007794194971211255,39.949981689453125,1.0368170738220215,62.934059143066406,12.70030689239502,100.0,10.0
