X,Y,t_datetime_x,t_days,u,p_acum_30d,p_acum_60d,p_acum_90d
4720102.704026957,2250747.4426938803,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4719902.31274932,2250708.394688668,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4719942.352441843,2250708.201519075,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4719982.392123381,2250708.008377169,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4720022.431793931,2250707.8152629505,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4720062.471453498,2250707.622176419,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4720102.511102084,2250707.429117575,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4720142.550739689,2250707.2360864184,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4720182.590366314,2250707.043082949,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4719902.119697206,2250668.381057919,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4719942.159417396,2250668.1878993064,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4719982.199126604,2250667.9947683797,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4720022.238824823,2250667.801665138,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4720062.278512058,2250667.608589582,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4720102.318188312,2250667.415541712,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4720142.357853586,2250667.222521528,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4720182.39750788,2250667.029529029,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4720222.437151197,2250666.8365642163,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4720262.47678354,2250666.6436270885,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4719901.9266562015,2250628.3674276127,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4719941.966404059,2250628.17427998,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4719982.006140933,2250627.981160032,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4720022.045866819,2250627.788067768,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4720062.085581722,2250627.595003188,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4720102.125285643,2250627.401966292,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4720142.164978582,2250627.2089570803,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4720182.204660543,2250627.0159755526,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4720222.244331528,2250626.823021709,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
4720262.283991537,2250626.630095549,2022-02-23,0.0,0.0,115.42264938354492,207.52028703689575,349.51360899209976
