run_id,best_val_rmse,final_physics_balance,init_c_prime,init_phi,init_n,init_sigma_n,init_eta,final_c_prime,final_phi,final_n,final_sigma_n,final_eta,final_tau,final_h
0,0.003958487614000512,0.008925703164681255,10.526664884999997,11.982516187616385,3.082979871641111,38.84173916615972,1016696.138489927,10.548229217529297,12.00158977508545,3.1012070178985596,38.85158920288086,1016696.125,15.0,15.0
1,0.003936841043629589,0.003417505574737703,3.184301176950396,23.31342527435762,1.849289436012294,48.968428247695876,3543430.9260046287,3.1843068599700928,23.31334114074707,1.8492639064788818,48.96842956542969,3543431.0,15.0,15.0
2,0.004027007667573689,0.002421042693620413,9.747883713045468,17.96220050457415,1.340997930936318,48.93066237958726,4826060.419883652,9.748774528503418,17.963098526000977,1.341517448425293,48.93120574951172,4826060.5,15.0,15.0
3,0.00396570669464442,0.00018839166961025222,3.2338164188390714,15.162915514078811,1.903561546254048,26.306551564306417,1474194.5290833525,6.513914585113525,18.526668548583984,1.8056776523590088,29.69820785522461,1474194.5,15.0,15.0
4,0.004018954204164905,0.004231113012217694,10.080562576088633,16.991243123462052,2.246027067401175,43.12784383168467,3917496.410419602,10.080570220947266,16.991249084472656,2.246066093444824,43.12784194946289,3917496.5,15.0,15.0
5,0.003915904266778953,0.0026500012311135163,11.881884780564741,24.90059042949665,3.918067764827218,49.070157147193896,4610316.10859512,11.881884574890137,24.900590896606445,3.9180679321289062,49.07015609741211,4610316.0,15.0,15.0
6,0.003901018167856781,0.0009204564569139616,12.884963137231505,12.340733585734657,2.8699041730634054,45.00755844986627,566244.3829472815,12.884964942932129,12.34073543548584,2.869905710220337,45.0075569152832,566244.375,15.0,15.0
7,0.0040848486088722455,0.004567494154337864,9.803493597301852,30.6335143465268,3.3173427694623845,14.895129171275237,3703527.3802016904,9.825819969177246,30.643970489501953,3.3373100757598877,14.910883903503418,3703527.5,15.0,15.0
8,0.00395379869016124,0.00013936852400268582,5.027357582941895,28.869836718218558,3.314311512872557,44.344194474804574,317507.88816559484,5.027357578277588,28.869836807250977,3.3143115043640137,44.34419631958008,317507.875,15.0,15.0
9,0.0038763185681137085,0.0013539097304552002,13.717024687645377,27.08026874169195,3.8374284476435117,41.30042998113542,4645721.15253875,13.717024803161621,27.08026885986328,3.837428569793701,41.30043029785156,4645721.0,15.0,15.0
