epoch,train_loss_total,train_loss_data,train_loss_physics,val_loss_total,val_rmse,val_r2,physics_balance
1,0.033255250011752176,0.0332541526452481,1.0974118365254281e-10,0.0332541526452481,0.0020597559355238484,0.8892171382904053,0.03325305523341157
2,0.007237201991382164,0.007235627513161147,1.5744863336989996e-10,0.007235627513161147,0.002076062137993354,0.8874561190605164,0.007234053026827448
3,0.005524269129790656,0.005522776863162781,1.4922692147635208e-10,0.005522776863162781,0.0020550880505026984,0.8897186517715454,0.005521284593948017
4,0.004965722793108457,0.004964343947660807,1.3788461301665845e-10,0.004964343947660807,0.002040279496628516,0.8913022875785828,0.00496296510153064
5,0.004596370600720311,0.004595105810236041,1.2648018921883925e-10,0.004595105810236041,0.0021161545278970597,0.8830673098564148,0.004593841008343853
6,0.00435381799742773,0.004352658691924888,1.1592938841942524e-10,0.004352658691924888,0.002107531990171474,0.8840183019638062,0.004351499398040693
7,0.004129279869330394,0.0041282169847422605,1.0628852174301083e-10,0.0041282169847422605,0.0021623719208310804,0.8779038190841675,0.00412715409952483
8,0.003980599936436523,0.003979618295833662,9.81635725807681e-11,0.003979618295833662,0.002192386700737188,0.8744908571243286,0.0039786366601078545
9,0.0038437918149079983,0.0038428792699736047,9.125433614922627e-11,0.0038428792699736047,0.002139855400212398,0.8804333806037903,0.0038419667266121125
10,0.0036620137668759017,0.0036611593261893305,8.544455709347542e-11,0.0036611593261893305,0.002189111459797643,0.8748655319213867,0.0036603048806183956
11,0.003598579093692945,0.003597775103778324,8.039799188049883e-11,0.003597775103778324,0.0022077657233864297,0.8727238178253174,0.003596971123859519
12,0.0034509946044848916,0.003450234133338967,7.604637381569041e-11,0.003450234133338967,0.0022236003170182897,0.8708915710449219,0.00344947366960081
13,0.0033499838173534574,0.003349258900958706,7.249115724181257e-11,0.003349258900958706,0.0022675856569918315,0.8657332062721252,0.003348533989386288
14,0.0032797584301102667,0.0032790645418761225,6.938985733409384e-11,0.0032790645418761225,0.002144302398003497,0.8799358606338501,0.0032783706433027813
15,0.003179793644926281,0.003179124483306493,6.691604556718766e-11,0.003179124483306493,0.002287948462958695,0.8633109927177429,0.0031784553228508213
16,0.0031384254083061565,0.0031377777339310037,6.476794602082394e-11,0.0031377777339310037,0.0023032244666092738,0.861479640007019,0.0031371300544707956
17,0.003073757272455599,0.0030731260168741083,6.312539697311033e-11,0.0030731260168741083,0.0022773531013412507,0.8645740747451782,0.003072494762904377
18,0.003027509988055794,0.0030268942408094354,6.157449634495002e-11,0.0030268942408094354,0.0022734189550068008,0.8650414943695068,0.0030262784958459857
19,0.0029421265279366213,0.002941523303955116,6.03221938309175e-11,0.002941523303955116,0.0023395774998098344,0.8570724129676819,0.0029409200820168066
