parameter,variation_pct,original_value,modified_value,pred_mae_diff,pred_diff_pct,physics_loss,physics_loss_diff_pct
c_prime,-50.0,9.196059226989746,4.598029613494873,0.00011880689,0.4142090678215027,1.5957012374882032e-10,43.803634131262285
c_prime,-25.0,9.196059226989746,6.89704442024231,4.3009426e-05,0.14994832454249263,1.1096382775810893e-10,-6.696836649686061e-05
c_prime,-10.0,9.196059226989746,8.276453304290772,4.246816e-06,0.014806125545874238,1.1096388238172722e-10,-1.7741890791736e-05
c_prime,0.0,9.196059226989746,9.196059226989746,0.0,0.0,1.1096390206882154e-10,0.0
c_prime,10.0,9.196059226989746,10.115665149688722,9.4157787e-07,0.003282722900621593,1.1096387649173588e-10,-2.3049915501692518e-05
c_prime,25.0,9.196059226989746,11.495074033737183,1.169787e-06,0.004078352503711358,1.1096388383405385e-10,-1.643306278680584e-05
c_prime,50.0,9.196059226989746,13.79408884048462,1.1934676e-06,0.004160912794759497,1.1096392328892732e-10,1.912343147525438e-05
phi,-50.0,19.500574111938477,9.750287055969238,0.00011880689,0.4142090678215027,1.53082781754472e-10,37.95728061142593
phi,-25.0,19.500574111938477,14.625430583953857,4.222102e-05,0.1471996307373047,1.1096392409577546e-10,1.9850558156307683e-05
phi,-10.0,19.500574111938477,17.55051670074463,4.329676e-06,0.015095008711796254,1.1096387116653823e-10,-2.784895154306508e-05
phi,0.0,19.500574111938477,19.500574111938477,0.0,0.0,1.1096390206882154e-10,0.0
phi,10.0,19.500574111938477,21.450631523132326,9.550528e-07,0.003329701939946972,1.1096388262378166e-10,-1.7523752790914306e-05
phi,25.0,19.500574111938477,24.375717639923096,1.1749186e-06,0.004096243355888873,1.109639219172855e-10,1.7887316137264787e-05
phi,50.0,19.500574111938477,29.250861167907715,1.1934679e-06,0.004160913886153139,1.1096389658225428e-10,-4.9444613636060355e-06
sigma_n,-50.0,24.535585403442383,12.267792701721191,0.00011880689,0.4142090678215027,1.4700559777878362e-10,32.48055902685223
sigma_n,-25.0,24.535585403442383,18.401689052581787,3.5789788e-05,0.12477773707360029,1.1096383316399138e-10,-6.209661780019514e-05
sigma_n,-10.0,24.535585403442383,22.082026863098147,3.8183407e-06,0.013312287046574056,1.1096390352114818e-10,1.3088280165778176e-06
sigma_n,0.0,24.535585403442383,24.535585403442383,0.0,0.0,1.1096390206882154e-10,0.0
sigma_n,10.0,24.535585403442383,26.989143943786623,9.1918486e-07,0.003204651875421405,1.1096390561895331e-10,3.1993573570324905e-06
sigma_n,25.0,24.535585403442383,30.66948175430298,1.1636906e-06,0.004057097976328805,1.1096384341096261e-10,-5.2862109063800495e-05
sigma_n,50.0,24.535585403442383,36.803378105163574,1.1934223e-06,0.004160754906479269,1.109639395065747e-10,3.373867758854611e-05
eta,-50.0,1000000.0,500000.0,1.1934679e-06,0.004160913886153139,1.1096387495872443e-10,-2.4431456185210897e-05
eta,-25.0,1000000.0,750000.0,1.1934679e-06,0.004160913886153139,1.1096387495872443e-10,-2.4431456185210897e-05
eta,-10.0,1000000.0,900000.0,1.1934679e-06,0.004160913886153139,1.1096387495872443e-10,-2.4431456185210897e-05
eta,0.0,1000000.0,1000000.0,1.1934679e-06,0.004160913886153139,1.1096387495872443e-10,-2.4431456185210897e-05
eta,10.0,1000000.0,1100000.0,1.1934679e-06,0.004160913886153139,1.1096387495872443e-10,-2.4431456185210897e-05
eta,25.0,1000000.0,1250000.0,1.1934679e-06,0.004160913886153139,1.1096387495872443e-10,-2.4431456185210897e-05
eta,50.0,1000000.0,1500000.0,1.1934679e-06,0.004160913886153139,1.1096387495872443e-10,-2.4431456185210897e-05
