parameter,variation_pct,original_value,modified_value,pred_mae_diff,pred_diff_pct,physics_loss,physics_loss_diff_pct
c_prime,-50.0,5.081735610961914,2.540867805480957,0.0,0.0,2.3184322064501452e-09,366.1539092400997
c_prime,-25.0,5.081735610961914,3.8113017082214355,0.0,0.0,1.143048720003411e-09,129.8262713048367
c_prime,-10.0,5.081735610961914,4.573562049865723,0.0,0.0,7.052637479868682e-10,41.80334980455798
c_prime,0.0,5.081735610961914,5.081735610961914,0.0,0.0,4.973533763193222e-10,0.0
c_prime,10.0,5.081735610961914,5.589909172058106,0.0,0.0,3.4307496609679783e-10,-31.01987793151545
c_prime,25.0,5.081735610961914,6.352169513702393,0.0,0.0,1.8979747817253404e-10,-61.83850613880705
c_prime,50.0,5.081735610961914,7.622603416442871,0.0,0.0,7.10654680205042e-11,-85.71127262743722
phi,-50.0,15.082331657409668,7.541165828704834,0.0,0.0,2.5826412704339263e-09,419.27691524823587
phi,-25.0,15.082331657409668,11.311748743057251,0.0,0.0,1.2313152310626737e-09,147.57351406258803
phi,-10.0,15.082331657409668,13.574098491668702,0.0,0.0,7.31452153232413e-10,47.06890272778389
phi,0.0,15.082331657409668,15.082331657409668,0.0,0.0,4.973533763193222e-10,0.0
phi,10.0,15.082331657409668,16.590564823150636,0.0,0.0,3.2715049017759564e-10,-34.22172126412771
phi,25.0,15.082331657409668,18.852914571762085,0.0,0.0,1.6508919268181918e-10,-66.80645984479558
phi,50.0,15.082331657409668,22.623497486114502,0.0,0.0,5.4235732498642584e-11,-89.09513133297382
sigma_n,-50.0,20.082340240478516,10.041170120239258,0.0,0.0,2.5217880415452422e-09,407.04150441438765
sigma_n,-25.0,20.082340240478516,15.061755180358887,0.0,0.0,1.20104334664829e-09,141.48691932819384
sigma_n,-10.0,20.082340240478516,18.074106216430664,0.0,0.0,7.208980985262096e-10,44.94685928569268
sigma_n,0.0,20.082340240478516,20.082340240478516,0.0,0.0,4.973533763193222e-10,0.0
sigma_n,10.0,20.082340240478516,22.09057426452637,0.0,0.0,3.346514600520653e-10,-32.713544134622566
sigma_n,25.0,20.082340240478516,25.102925300598145,0.0,0.0,1.7771462371871543e-10,-64.26793660598072
sigma_n,50.0,20.082340240478516,30.123510360717773,0.0,0.0,6.35090437841718e-11,-87.2305996484487
eta,-50.0,1000000.0,500000.0,0.00012000025,0.40805647149682045,3.245274361740602e-11,-93.47491237365804
eta,-25.0,1000000.0,750000.0,0.00012000025,0.40805647149682045,3.245274361740602e-11,-93.47491237365804
eta,-10.0,1000000.0,900000.0,0.00012000025,0.40805647149682045,3.245274361740602e-11,-93.47491237365804
eta,0.0,1000000.0,1000000.0,0.00012000025,0.40805647149682045,3.245274361740602e-11,-93.47491237365804
eta,10.0,1000000.0,1100000.0,0.00012000025,0.40805647149682045,3.245274361740602e-11,-93.47491237365804
eta,25.0,1000000.0,1250000.0,0.00012000025,0.40805647149682045,3.245274361740602e-11,-93.47491237365804
eta,50.0,1000000.0,1500000.0,0.00012000025,0.40805647149682045,3.245274361740602e-11,-93.47491237365804
