parameter,variation_pct,original_value,modified_value,pred_mae_diff,pred_diff_pct,physics_loss,physics_loss_diff_pct
c_prime,-50.0,6.25150203704834,3.12575101852417,0.0,0.0,3.2339879626909544e-10,360.010487405683
c_prime,-25.0,6.25150203704834,4.688626527786255,0.0,0.0,1.5816785683119428e-10,124.98189155994372
c_prime,-10.0,6.25150203704834,5.626351833343506,0.0,0.0,9.785596336865231e-11,39.192754964091684
c_prime,0.0,6.25150203704834,6.25150203704834,0.0,0.0,7.030248333966574e-11,0.0
c_prime,10.0,6.25150203704834,6.876652240753175,0.0,0.0,5.0918665721020617e-11,-27.572024056379924
c_prime,25.0,6.25150203704834,7.814377546310425,0.0,0.0,3.353137257589977e-11,-52.304142068647444
c_prime,50.0,6.25150203704834,9.37725305557251,6.907195e-05,0.6075241602957249,2.6116212415789004e-11,-62.85165021894207
phi,-50.0,16.28508949279785,8.142544746398926,0.0,0.0,3.299456016374506e-10,369.3228261131569
phi,-25.0,16.28508949279785,12.213817119598389,0.0,0.0,1.6197964527646562e-10,130.40387420436144
phi,-10.0,16.28508949279785,14.656580543518066,0.0,0.0,9.922338449063834e-11,41.137808761664296
phi,0.0,16.28508949279785,16.28508949279785,0.0,0.0,7.030248333966574e-11,0.0
phi,10.0,16.28508949279785,17.91359844207764,0.0,0.0,4.998424975552353e-11,-28.901160554990458
phi,25.0,16.28508949279785,20.356361865997314,0.0,0.0,3.2121135084502455e-11,-54.31009893447219
phi,50.0,16.28508949279785,24.427634239196777,8.629551e-05,0.7590144407004118,2.6116224219450917e-11,-62.851633429119936
sigma_n,-50.0,21.28998374938965,10.644991874694824,0.0,0.0,3.212327783002453e-10,356.92948960026393
sigma_n,-25.0,21.28998374938965,15.967487812042236,0.0,0.0,1.5754588304229677e-10,124.09718058054283
sigma_n,-10.0,21.28998374938965,19.160985374450686,0.0,0.0,9.769185204146757e-11,38.959318932548044
sigma_n,0.0,21.28998374938965,21.28998374938965,0.0,0.0,7.030248333966574e-11,0.0
sigma_n,10.0,21.28998374938965,23.418982124328615,0.0,0.0,5.0999609125173855e-11,-27.456888146084747
sigma_n,25.0,21.28998374938965,26.61247968673706,0.0,0.0,3.3632805176141567e-11,-52.15986181648093
sigma_n,50.0,21.28998374938965,31.934975624084473,6.8056455e-05,0.5985923111438751,2.611622305039814e-11,-62.85163509200966
eta,-50.0,1000000.0,500000.0,0.00012000031,1.0554658249020576,2.6116220297467407e-11,-62.85163900784677
eta,-25.0,1000000.0,750000.0,0.00012000031,1.0554658249020576,2.6116220297467407e-11,-62.85163900784677
eta,-10.0,1000000.0,900000.0,0.00012000031,1.0554658249020576,2.6116220297467407e-11,-62.85163900784677
eta,0.0,1000000.0,1000000.0,0.00012000031,1.0554658249020576,2.6116220297467407e-11,-62.85163900784677
eta,10.0,1000000.0,1100000.0,0.00012000031,1.0554658249020576,2.6116220297467407e-11,-62.85163900784677
eta,25.0,1000000.0,1250000.0,0.00012000031,1.0554658249020576,2.6116220297467407e-11,-62.85163900784677
eta,50.0,1000000.0,1500000.0,0.00012000031,1.0554658249020576,2.6116220297467407e-11,-62.85163900784677
